Provenance2,stems_per_ha
64,424.36022027858763
AS1,402.49433106575964
AS10,430.8390022675737
Asubima 2,221.08843537414964
Bamoro,447.8458049886621
Brazil 702,408.16326530612247
Brazil Clone,508.31443688586546
Catie,510.2040816326531
Dunkwa,68.02721088435374
Floresteca Brazil,498.8662131519274
GO1,453.51473922902494
GO5,289.1156462585034
Goaso,321.99546485260765
Honduras,521.5419501133787
India Dryland,385.48752834467115
Jimira,345.8049886621315
KVTC,264.55026455026456
Kihuhwi,428.0045351473923
Kihuhwi P68,476.1904761904762
Kiroka,439.3424036281179
LO,294.7845804988662
Latene,523.4315948601662
Luasong,481.85941043083903
Miro 1,294.7845804988662
Miro 2,385.48752834467115
Miro 3,340.13605442176873
Mtibwa,458.0498866213152
Mtibwa P61,444.44444444444446
Nigeria P67,498.8662131519274
Nilambur 5,362.81179138321994
Nkawie,317.46031746031747
Oume,524.3764172335601
P80,90.70294784580499
Pampawie,158.73015873015873
Panama,453.51473922902494
Perlis,323.12925170068024
Sangoue,493.19727891156464
TA1,459.18367346938777
TA4,198.41269841269843
Tain II,158.73015873015873
Taliwas,527.2108843537414
Topslip,544.2176870748299
Worawora,353.74149659863946
